Compound Actions,,,,,per action,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
610,Step Up,,strength_action_bw,,no_equipment,none,mod,,1,raising leg up onto step,single_leg_standing,,0_c,gait:Swing,,FALSE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,0,0,1,1,20.37,"100,100",
,,,,,,,,,1,,,,100.1,Drawing In,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1003,Single Leg Standing,,,,,contralateral_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,2,raising body up,single_leg_moving,,0_a,gait:Propulsion,,TRUE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,2,1,2,1,100,"100,100",
,,,,,,,,,2,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,,,,3,lower back down,single_leg_moving,,0_b,gait:Loading,,FALSE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,2,1,2,1,100,"100,100",
,,,,,,,,,3,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,,,,4,standing a base,single_leg_standing,,1003,Single Leg Standing,,,,,contralateral_single_leg,,unilateral_alternating,,,,,,,
611,Lateral Step Up,,strength_action_bw,,no_equipment,none,mod,,1,raising leg up to the side onto step,single_leg_standing,,1_c,lateral gait:Swing,,FALSE,FALSE,FALSE,alternating_single_leg,,unilateral_alternating,0,0,1,1,20.37,"100,100",
,,,,,,,,,1,,,,100.1,Drawing In,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1003,Single Leg Standing,,,,,contralateral_single_leg,,unilateral_alternating,,,,,,,
,,,,,,,,,2,raising body up to the side,single_leg_moving,,1_a,lateral gait:Propulsion,,TRUE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,2,1,2,1,100,"100,100",
,,,,,,,,,2,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,,,,3,lower back down to the side,single_leg_moving,,1_b,lateral gait:Loading,,FALSE,TRUE,TRUE,alternating_single_leg,,unilateral_alternating,2,1,2,1,100,"100,100",
,,,,,,,,,3,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,,,,4,standing a base,single_leg_standing,,1003,Single Leg Standing,,,,,contralateral_single_leg,,unilateral_alternating,,,,,,,
,Standing Upper Body Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Standing YTW,,strength_action_bw,,no_equipment,none,slow,,1,Y positive,double_leg_standing,,2406.1_a,Front Raise Neutral Grip:Positive,,,,,,,,,,,,,,
,,,,,,,,,1,Y stance,,,2406.1_c,Front Raise Neutral Grip:stance,,,,,,,,,,,,,,
,,,,,,,,,1,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,slow,,2,Y negative,double_leg_standing,,2406.1_b,Front Raise Neutral Grip:Negative,,,,,,,,,,,,,,
,,,,,,,,,2,Y stance,,,2406.1_c,Front Raise Neutral Grip:stance,,,,,,,,,,,,,,
,,,,,,,,,2,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,slow,,3,T positive,double_leg_standing,,2408_a,Horizontal Abduction:positive,,,,,,,,2,0,0,0.5,4.715,,
,,,,,,,,,3,T stance,,,2406.1_d,Front Raise Neutral Grip:isometric hold,,,,,,,,,,,,,,
,,,,,,,,,3,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,slow,,4,T negative,double_leg_standing,,2408_b,Horizontal Abduction:negative,,,,,,,,2,0,0,0.5,4.715,,
,,,,,,,,,4,T stance,,,2406.1_d,Front Raise Neutral Grip:isometric hold,,,,,,,,,,,,,,
,,,,,,,,,4,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,slow,,5,W positive,double_leg_standing,,2409_a,External Rotation:Positive,,,,,,,,2,0,0,0.5,4.715,,
,,,,,,,,,5,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,no_equipment,none,slow,,6,W negative,double_leg_standing,,2409_b,External Rotation:Negative,,,,,,,,2,0,0,0.5,4.715,,
,,,,,,,,,6,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
710,Punch,,strength_action_bw,,no_equipment,none,fast,,1,,staggered_leg_standing,,2450_a,punch:out,,,,,,,,,,,,,,
,,,,,,,,,1,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,,,,,2,,,,2450_b,punch:recoil,,,,,,,,,,,,,,
,,,,,,,,,2,Standing Stance,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,Misc Stance Upper Body Bodyweight Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Pull Up,,,,no_equipment,none,mod,,1,,hanging,,2410_a,Pull Up: Positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,,,2410_b,Pull Up: Negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
800.1,Assisted Pull Up,,,,no_equipment,none,mod,,1,,hanging,,2410_a,Pull Up: Positive,,,,,,,,2,1,2,0.7,70,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,2,1,2,0.7,70,,
,,,,,no_equipment,none,mod,,2,,,,2410_b,Pull Up: Negative,,,,,,,,2,1,2,0.7,70,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,2,1,2,0.7,70,,
801,Dips,,,,no_equipment,none,mod,,1,,hanging,,2403_a,Dips:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,,,2403_b,Dips:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
802,Pull Over,,strength_action_bw,,single_dumbbell,mod,mod,,1,,supine,,2407_a,Supine Front Raise:Positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,no_equipment,none,mod,,2,,supine,,2407_b,Supine Front Raise:Negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100.2,Bracing & Drawing In,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weighted  Standing Upper Body Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Tricep Extension,,strength_action_bw,,single_dumbbell,mod,mod,,1,,double_leg_standing,,2403.2_a,Tricep Extension:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,2403.2_c,Tricep Extension:stance,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1000.2,"standing, moving weight in sagittal plane behind head",,,,,,,,,,,,,,
,,,,,,,,,2,,double_leg_standing,,2403.2_b,Tricep Extension:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,2403.2_c,Tricep Extension:stance,,,,,,,,,,,,,,
,,,,,,,,,2,,,,1000.2,"standing, moving weight in sagittal plane behind head",,,,,,,,,,,,,,
,,,,,,,,,,,double_leg_standing,,,,,,,,,,,,,,,,,
901,Chest Press,,strength_action_bw,,dumbbells,mod,mod,,1,,supine,,2400_a,Bench Press:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,,,,,2,,supine,,2400_b,Bench Press:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
902,Overhead Press,,strength_action_bw,,dumbbells,mod,mod,,1,,double_leg_standing,,2411_a,Overhead Press: Positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,,,,,2,,double_leg_standing,,2411_b,Overhead Press: Negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
902.1,Single Arm Overhead Press,,strength_action_bw,,single_dumbbell,mod,mod,,1,,double_leg_standing,,2411_a,Overhead Press: Positive,,,,,,single_arm,unilateral,1,,,1,4.715,"100,0",
,,,,,,,,,1,,,,1000.4,"standing, moving single arm with weight in sagittal plane in front",,,,,,,,,,,,,,
,,,,,,,,,2,,double_leg_standing,,2411_b,Overhead Press: Negative,,,,,,single_arm,unilateral,1,,,1,4.715,"100,0",
,,,,,,,,,2,,,,1000.4,"standing, moving single arm with weight in sagittal plane in front",,,,,,,,,,,,,,
903,Iso Overhead Hold,,strength_action_bw,,single_dumbbell,mod,mod,,1,shoulder stabilization,double_leg_standing,,201,hold weight overhead,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100.1,Drawing In,,,,,,,,,,,,,,
904,Bicep Curl,,strength_action_bw,,dumbbells,mod,mod,,1,,upright_torso,,2404_a,Bicep Curl:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,2404_c,Bicep Curl:stance,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,,,,,2,,upright_torso,,2404_b,Bicep Curl:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,2404_c,Bicep Curl:stance,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
904.1,Hammer Bicep Curl,,strength_action_bw,,dumbbells,mod,mod,,1,,upright_torso,,2404.1_a,Hammer Bicep Curl:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,2404.1_c,Hammer Bicep Curl:stance,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,,,,,2,,upright_torso,,2404.1_b,Hammer Bicep Curl:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,2404.1_c,Hammer Bicep Curl:stance,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
904.2,Reverse Bicep Curl,,strength_action_bw,,dumbbells,mod,mod,,1,,upright_torso,,2404.2_a,Reverse Bicep Curl:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,2404.2_c,Reverse Bicep Curl:stance,,,,,,,,,,,,,,
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,,,,,2,,upright_torso,,2404.2_b,Reverse Bicep Curl:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,2404.2_c,Reverse Bicep Curl:stance,,,,,,,,,,,,,,
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
905,Standing Bent Over Row,,strength_action_bw,,dumbbells,mod,mod,,1,,double_leg_standing,,2402_a,Bent Over Row:positive,,,,,,,,,,,,,,
