,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Arch Hold,,,,,,,,,,,,,,,https://youtu.be/PCf4T0YtwCI,,,Seconds; Reps; Minutes; Time,[],accessory work; strength 1; strength 3; bonus work- gymnastics; bonus work; stamina,1,1,0,2,1202,5aba667db678c5000fde6ec1,#N/A,
,Arch Rock,,,,,,,,,,,,,,,https://youtu.be/DeeLlZY68eI,,,Reps,[],accessory work 2; accessory work; stamina,0,1,0,1,1876,5d0a6b75cc3ad8000f327867,#N/A,
,Arch to Hollow Holds,,,,,,,,,,,,,,,https://youtu.be/52rFJgO933k,,,Reps; Seconds,[],warm-up/movement prep; accessory work; warm-up; bonus material; warm-up / movement prep,0,0,0,0,670,5889082465dcf3000f9121c3,#N/A,
,Archer Pose,,,,,,,,,,,,,,,https://youtu.be/HMW9ZitIdZ8,,,,[],,0,0,0,0,141,57e2fd3a4c6a031dc777e8b4,#N/A,
,Archer Push-Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/fGaBFKhkI90,,,Reps,['basic_exercise: push-ups'],accessory work; strength 3; bonus material,1,0,0,1,1220,5ac3dd44d4365e000f26768f,#N/A,
,Archer Ring Pull-Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/fethIQ4v3go,,,Reps,['basic_exercise: pull-ups'],strength 2,1,0,0,1,1216,5ac3b8c616557e000f3d53e6,#N/A,
,Archer Ring Row,,,,,,,,,,,,,,,https://youtu.be/4g8CM9pV4X4,,,Reps,['equipment: rower'],bonus material,0,0,0,0,1540,5c0d8a582fa17a000f51c5df,#N/A,
,Arm Circles,,,,,,flexibility,,,,,,,,,https://youtu.be/bP52FXTlzjA,,,Reps; Minutes,[],recovery protocol; warm-up/movement prep; stamina; recovery protocol 4,0,1,0,1,1184,5aaf677c16557e000f3af354,#N/A,
,Arm Haulers,,,,,,,,,,,,,,,https://youtu.be/R7BvUD-yC78,,,Reps,[],stretch; stamina/strength 3; stamina/strength 1; cool down/stretch; strength/mobility; stretch/recovery; stamina/strength 2,1,1,0,2,864,596339b26bdcf5000f76d720,#N/A,
,Arm Swing Drill,in place running form drill to learn to swing arms,,,,,skill_development,,,,,,,,,https://youtu.be/0pHOZva0Gic,,,Minutes,[],skill prep; stamina prep,0,1,0,1,861,595e5c5c6b0657000f2f373f,#N/A,
,Around the World Ball Slam,,,,,,,,,,,,,,,https://youtu.be/AyF-bh__iEA,,,Reps,[],accessory work,0,0,0,0,1414,5bb2cc37c93a2b000f71dfd1,#N/A,
"Med-Ball Slams, lift with rotation",Around the World Ball Slams,"med ball from overhead to slam, raise ball on side (rotate trunk, lift usin",,2103,1104a,,power_action_plyometrics,,,,stable,medicine_balls,,speed - mod force,,https://youtu.be/AyF-bh__iEA,medicine_balls,,Reps; Time,[],stamina 3; accessory work; strength 1; plyometrics; mixed modal; strength; stamina; stamina 2,1,1,1,3,388,57e2fd3b4c6a031dc777e9bd,Weight (Actual),
,Assisted Banded Dips,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/D0lQcUyXts0,resistence_bands,,Reps,['basic_exercise: dips'],strength 1,1,0,0,1,800,5905e466825920000fabbb37,#N/A,
Explosive Burpee,Athletic Burpee,burpee,,"2001, 2006",1004,,power_action_plyometrics,,,,stable,,,speed - mod force,,https://youtu.be/bJ_fogiPvnU,no_equipment,,,[],,0,0,0,0,226,57e2fd3a4c6a031dc777e913,#N/A,
,Axle Bar Clean & Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/VdeHikSTxQ8,barbells,,Reps,[],conditioning; stamina; strength 1; strength 3,1,1,0,2,1017,59d672a90b81da000ff70df2,Weight (Actual),
,B Skip,,,,,,movement_prep,,,,,,,,,https://youtu.be/Zy97yNE7WEE,,,Time; Meters; Feet,[],warm-up/movement prep; skill prep; endurance prep; run warm-up; run development; run warm up; warm-up / movement prep; skill development; endurance,0,0,0,0,1083,5a3952334bfad1000f69b952,#N/A,
,Back Extensions,"prone, hip extension with lower body fixed / raising torso",,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/NtSwLa7ETLo,plate,,Reps; Time; Seconds,[],accessory work 2; accessory work; suns out guns out; soflete rx'd; strength 3; soflete performance; weapons development; accessory work 3; strength 2; trunk work; soflete fitness; stamina 1; strength; stamina; stamina 3,1,1,0,2,101,57e2fd3a4c6a031dc777e889,Weight (Actual),
,Back Rack Barbell Carry,"carry, with a barbell across the back shoulders",,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/w-ALjbqSghM,barbells,,Reps; Meters; Feet,"['basic_exercise: carry', 'equipment: barbells']",stamina part 2; strength 1; strength 3; strongwoman work; stamina 1; strength; stamina; stamina 2,1,1,0,2,55,57e2fd3a4c6a031dc777e855,Weight (Actual),
,Back Rack Box Step-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/DJOJmCNpIiY,barbells,,Reps,"['basic_exercise: step-up', 'basic_functional_movement: step']",accessory work; soflete rx'd; strength 3; soflete performance; strength 1; strength 2; soflete fitness; powerlifting 2; strength; neuro adaptation; stamina,1,1,0,2,248,57e2fd3a4c6a031dc777e92c,Weight (Actual),
,Back Rack Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/etDYwLCBAjs,barbells,,Reps; Time,['basic_functional_movement: lunge'],accessory work; strength 1; strength 3; test 3; strength 2; strength; stamina,1,1,0,2,44,57e2fd3a4c6a031dc777e84a,Weight (3RM),
,Back Rack Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/pznH3RGuCVg,barbells,,Reps,['basic_functional_movement: squat'],mobility work; warm-up; neuro adaptation,0,0,0,0,573,585d6b364d0fec0011c028fc,Weight (1RM),
,Back Rack Walking Lunge,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/UDgk7EQhTUg,barbells,,Reps; Meters,['basic_functional_movement: lunge'],strength 2; stamina; strength,1,1,0,2,899,597cc28afd7558000f7f87b6,Weight (Actual),
,Back Squats,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/bgLW3LJX3Pc,barbells,,Reps; Minutes; Time; Seconds,['basic_functional_movement: squat'],strength 1; strengtht 2; strength and stamina; stength; neuro adaptation; mobility work; warm-up/movement prep; strength work; weightlifting 3; squat to death; soflete rx'd; soflete performance; strenth 2; down regulation breathing; soflete fitness; stamina 1; strength; powerlifting 1; stamina; strength 3; austin's section; weightlifting 2; stregnth; warm-up; strength 2; warm-up / movement prep; strength part 2; assistance work,1,1,0,2,2,57e2fd3a4c6a031dc777e81e,Weight (2RM),
,Back to Wall Run,,,,,,movement_prep,,,,,,,,,https://youtu.be/vveBgx_sFQw,,,Seconds; Minutes,"['equipment: running', 'basic_functional_movement: run']",run skill development,0,0,0,0,1582,5c1d36574f9813000fe81eb5,#N/A,
,Backstroke,,,302,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/HH78mglJcnw,,,Yards,[],cool down,0,0,0,0,1903,5d2660accc3ad8000f38cf44,#N/A,
,Backward High Knees,,,,,,movement_prep,,,,,,,,,https://youtu.be/SNs3KZXlqkE,,,Seconds,[],run skill development,0,0,0,0,1567,5c1d33004f9813000fe81dc9,#N/A,
Backwards Run,Backward Run,running backwards,,backwards run,,,movement_prep,,,,stable,,,none,,https://youtu.be/PU6qPvT6sAc,,,Meters,"['equipment: running', 'basic_functional_movement: run']",warm-up/movement prep; warm-up; running; warm up/movement prep; warm-up / movement prep; stamina,0,1,0,1,663,58879bda65dcf3000f911789,#N/A,
,Backward Skip with Arm Circles,,,,,,movement_prep,,,,,,,,,https://youtu.be/QJWX--o0Q8Y,,,Meters,[],run warm up,0,0,0,0,1558,5c1d30434f9813000fe81cf8,#N/A,
,Backwards High Knees,,,,,,movement_prep,,,,,,,,,https://youtu.be/SNs3KZXlqkE,,,Seconds; Reps,[],recovery protocol; endurance prep; run skill development,0,0,0,0,1587,5c2530359eb3da000f131240,#N/A,
,Backwards Med Ball Throw,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://www.youtube.com/watch?v=UIfzaWKtGXU,medicine_balls,,Reps,[],stamina 1,0,1,0,1,1704,5c75aef2429bf4000f025ced,Weight (Actual),
,Backwards Roll to Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/q5wZIFDr7rE,,,Reps,['basic_functional_movement: squat'],recovery protocol,0,0,0,0,1585,5c251fca4f9813000fe94e02,#N/A,
Backwards Run,Backwards Run,running backwards DUPLICATE,,backwards run,,,movement_prep,,,,stable,,,none,,https://youtu.be/PU6qPvT6sAc,,,Seconds; Meters; Feet,"['equipment: running', 'basic_functional_movement: run']",endurance prep; running; stamina 1; run warm up; run skill development; stamina,0,1,0,1,215,57e2fd3a4c6a031dc777e904,#N/A,
Medicine Ball Slam,Ball Slam,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://youtu.be/33InwTVwVc8,medicine_balls,,Reps; Minutes; Time; Seconds,[],recovery; accessory work; strength 3; plyometrics; warm-up; assistance work; stamina 1; stamina 2; mb throws complex; strength; mobility work; neuro adaptation; stamina; stamina 3,1,1,1,3,193,57e2fd3a4c6a031dc777e8eb,Weight (Actual),
,Ball Slam to Sprawl,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://youtu.be/yOUT6s2gHUI,medicine_balls,,Reps,[],stamina,0,1,0,1,1645,5c5afdd682c07a00126b5f70,Weight (Actual),
,Band Assisted Planche,,,,,,,,,,,,,,,https://youtu.be/8r4f5LxAbzw,,,Seconds,[],accessory work; strength,1,0,0,1,1064,5a0dbc0b21a0de000fca1c95,#N/A,
,Band External and Internal Rotation,,,,,,,,,,,,,,,https://youtu.be/hPxL7lLMBjU,,,Reps,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",warm-up/movement prep; prehab / dynamic warm-up; prehab/dynamic warm up; prehab / dynamic warm-up (pillar wo.); warm-up; warm-up / movement prep,0,0,0,0,484,582b4f7f473c06100052ee57,#N/A,
,Band High Pulls,,,,,,,,,,,,,,,https://youtu.be/1u1-JYwxHhY,,,Reps,[],accessory work,0,0,0,0,768,58df0d0c78c95c000fc3403b,#N/A,
,Band Pull Apart Series,,,,,,,,,,,,,,,https://youtu.be/BVehf-8FAxQ,,,Reps; Time,[],warm-up/movement prep; new blank section #2; strength work; movement prep; strength 1; warm-up; breathing / mobility work; warm up/movement prep; warm-up / movement prep,1,0,0,1,761,58dd9c1d92dd6d000f60fcf7,#N/A,
,Band Pull-Aparts,,,,,,,,,,,,,,,https://youtu.be/JAfg0hSrZAw,,,Reps; Time; Seconds,[],warm-up/movement prep; movement flow; bb3 warm-up / movement prep; suns out guns out; movement prep; prehab/dynamic warm-up; prehab/dynamic warm up; strength 1; warm-up/ movement prep; warm-up; movemental flow; mobility work; dynamic warm-up; specialty work; warm-up / movement prep,1,0,0,1,491,582c9651dcab1710003331d7,#N/A,
,Band Pullover Dead Bug,,,,,,strength_endurance,,,,,,,,,https://youtu.be/Ss342O_XZ_s,,,Reps,[],warm-up/movement prep; warm-up / movement prep; bb3 warm-up / movement prep,0,0,0,0,1750,5ca0dead60e5d3000f12bef2,#N/A,
,Band Resisted Contralateral Dead Bugs,,,,,,strength_endurance,,,,,,,,,https://youtu.be/J-NAckkmyH8,,,Reps,[],warm-up/movement prep,0,0,0,0,227,57e2fd3a4c6a031dc777e914,#N/A,
,Band Resisted Ipsilateral Dead Bugs,,,,,,strength_endurance,,,,,,,,,https://youtu.be/-f1v_OA4Wuw,,,Reps,[],warm-up/movement prep; accessory work,0,0,0,0,229,57e2fd3a4c6a031dc777e916,#N/A,
,Band Resisted Pull Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/oSpXTNRmY4s,,,,['basic_exercise: pull-ups'],,0,0,0,0,230,57e2fd3a4c6a031dc777e917,#N/A,
,Band Walks,,,,,,,,,,,,,,,https://youtu.be/mpKtSSFUaiw,,,Meters,['basic_functional_movement: step'],warm-up/movement prep; prehab/dynamic warm up; prehab/dynamic warm-up; warm-up; warm up/movement prep; warm-up / movement prep,0,0,0,0,160,57e2fd3a4c6a031dc777e8c9,#N/A,
,Banded 90/90,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/PVMCpnGyNpc,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement primer; warm-up; warmup/movement prep; warm-up / movement prep,0,0,0,0,1399,5ba481d82d86de000f20dab8,#N/A,
,Banded Air Squats,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/Q0j2ee8vGi8,resistence_bands,,Reps,['basic_functional_movement: squat'],accessory work 1; accessory work; strength 2; strength 3,1,0,0,1,1808,5cded9b5cc3ad8000f28ac8e,#N/A,
,Banded Ankle Distraction,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/caMsWFX78DA,resistence_bands,,Reps; Time,[],mobility work; warm-up; neuro adaptation,0,0,0,0,1006,59d2aade9821bb000f9a2795,#N/A,
,Banded Ankle Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/-s87oKDej_U,resistence_bands,,Reps; Time,[],cars warm-up; mobility; breathing work; down regulation breathing; recovery protocol; neuro adaptation; mobility work; skill development,0,0,0,0,956,59c97e243d98d0000fd7fc8d,#N/A,
,Banded Anti Rotation Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=7iU11vNwWIQ,resistence_bands,,Reps; Time,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",accessory work; trunk work,0,0,0,0,735,58af3046c334cd000fb5c986,#N/A,
,Banded Archer Pulls,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/NB3rIhCm738,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep,0,0,0,0,1549,5c1299c59eb3da000f0fb527,#N/A,
,Banded Assisted Pull-Up,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=efnfK1jcWXc,Apply negative load - Resistence Bands,,Reps; Seconds,['basic_exercise: pull-ups'],warm-up/movement prep; strength 1; weapons development; strength 2; accessory work 1,1,0,0,1,802,5905e74fd3a431000f799579,#N/A,
,Banded ATYT,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/IDNz0ykXMs8,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep; warm-up,0,0,0,0,1401,5ba49e0af5c3eb000f36f15c,#N/A,
,Banded Bench Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=sPcTkYC2l0c,resistence_bands,,Reps,['basic_exercise: bench press'],strength 1; strength,1,0,0,1,756,58c4211de8f951000fc0cdf1,Weight (1RM),
,Banded Bicep Curl,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/iAToO786nPo,resistence_bands,,Reps; Minutes; Seconds,[],accessory work 2; accessory work; accessory work 1; bonus work (optional),0,0,0,0,1677,5c66581e452189000f350cf6,#N/A,
,Banded Bird Dog,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=JvwFtLGgVAk,resistence_bands,,Reps; Seconds,[],warm-up/movement prep; movement flow; accessory work; accessory work 2; mobility; warm-up; correctives; accessory work 4; mobility work; warm-up / movement prep,0,0,0,0,1056,5a050cf321a0de000fc952d0,#N/A,
,Banded Box Front Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=6spX_Mhpjbw,resistence_bands,,Reps,['basic_functional_movement: squat'],strength 1; strength,1,0,0,1,615,5877a971b06dc50011d08f06,Weight (1RM),
,Banded Box Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtube.com/watch?v=likgN_Qv0Es,resistence_bands,,Reps,['basic_functional_movement: squat'],strength,1,0,0,1,710,58a1ec3dc892b2000f4997f0,Weight (Actual),
,Banded Bully Stretch,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=9uRTWfBET8s,resistence_bands,,Seconds; Time,[],warm-up/movement prep; movement flow; cool down; mobility; breathing work; warm-up; down regulation breathing; recovery protocol; neuro adaptation; mobility work; warm up/movement prep,0,0,0,0,1379,5b90ce7386874b000ffc96d1,#N/A,
,Banded Chest Flys,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/gfS03SvURHc?t=35s,resistence_bands,,Reps,[],strength 4; strength 3,1,0,0,1,1788,5cb8d86160e5d3000f190ae8,#N/A,
,Banded Chest Press,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=lSyb-Mpl8c4,resistence_bands,,Reps,[],warm-up,0,0,0,0,1168,5a9862bc16557e000f38282a,#N/A,
,Banded Chest to Bar Pull-Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/hd-TwMK_MbI,resistence_bands,,Reps,['basic_exercise: pull-ups'],strength; strength 2,1,0,0,1,1618,5c40f0fcdafb11000fb785d7,#N/A,
,Banded DB Hammer Curl,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/ZIX-AnyyO4Y,"Dumbbells, Resistence Bands",,Reps,['equipment: dumbbells'],accessory work 2; accessory work,0,0,0,0,1725,5c86d1f031c07b000f5bad92,Weight (Actual),
,Banded Dead Bug,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=wCwn7-Z-XjE,resistence_bands,,Reps,[],warm-up/movement prep; accessory work; accessory work 2; warm-up/ movement prep; accessory work 3; warm-up / movement prep,0,0,0,0,1624,5c4f192c07910b000fd343bc,#N/A,
,Banded Dead Bug + Single Arm Pallof Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/iwXtF_QzqcA,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep,0,0,0,0,1622,5c4cc5fe07910b000fd2d7b8,#N/A,
,Banded Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=F6xPIZC6lhM,resistence_bands,,Reps,['olympic_lift: deadlift'],strength work; strength 1; strength 3; powerlifting 2; strength,1,0,0,1,1101,5a4bd5575a0778000fd660d4,Weight (3RM),
,Banded Diamond Push-Ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/RQiSZV47Vzs,resistence_bands,,Reps,['basic_exercise: push-ups'],accessory work 1,0,0,0,0,1945,5d5dcb143980560012fbe8e8,#N/A,
,Banded Dips,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=D0lQcUyXts0,resistence_bands,,,['basic_exercise: dips'],,0,0,0,0,798,5903e0acbbd5d5000f565076,#N/A,
,Banded Dumbbell Bench Press,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/vYy2u7T6iQs,"Dumbbells, Resistence Bands",,Reps,"['basic_exercise: bench press', 'equipment: dumbbells']",accessory work 1; strength,1,0,0,1,1018,59df90b0420ee2000fae4b08,Weight (Actual),
,Banded External Rotation,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=G8GhpZNb6pU,resistence_bands,,Reps,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",warm-up/movement prep; accessory work; prehab/dynamic warm up; prehab/dynamic warm-up; bonus work (optional); warm-up / movement prep,0,0,0,0,151,57e2fd3a4c6a031dc777e8bf,#N/A,
,Banded Feet Dead Bug,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=353eFaLtpRg,resistence_bands,,Reps,[],warm-up/movement prep; warm-up / movement prep; warm-up / movement prep (raiden 4),0,0,0,0,1623,5c4e0a48d9b6ed000fea5481,#N/A,
,Banded Glute Bridge Hold,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=39wD-dKJZGA,resistence_bands,,Seconds; Reps,[],accessory work 2; strength 1,1,0,0,1,1660,5c5fb98882c07a00126c9aaa,#N/A,
,Banded Glute Ham Raise,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=PztiTObzjNk,resistence_bands,,,[],,0,0,0,0,231,57e2fd3a4c6a031dc777e918,#N/A,
,Banded Good Morning,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=53VJa051bg0,resistence_bands,,Reps,[],warm-up/movement prep; accessory work; strength 1; prehab/dynamic warm-up; prehab/dynamic warm up; prehab / dynamic warm-up; warm-up/ movement prep; warm-up; sky's out thighs out; skyâ€™s out thighs out (accessory work); trunk work; warm up/movement prep; recovery protocol; dynamic warm-up; strength; mobility work; warm-up / movement prep; prehab/dynamic warm-u,1,0,0,1,53,57e2fd3a4c6a031dc777e853,Weight (Actual),
,Banded Hamstring Curl,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=qKFYXsAqggc,resistence_bands,,Reps; Time,[],accessory work; skys out thighs out 1; strength 3; skys out thighs out; stamina 1; correctives; accessory work 1; stamina,1,1,0,2,232,57e2fd3a4c6a031dc777e91a,#N/A,
,Banded Hamstring Extension,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/pwynU2fYENE,resistence_bands,,Reps; Seconds,['movement direction - plane: sagittal'],warm-up/movement prep; warm-up / movement prep; recovery protocol; warm up/movement prep,0,0,0,0,1542,5c0f5a642fa17a000f523a21,#N/A,
,Banded Hamstring Stretch,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=qTZWr71vh_U,resistence_bands,,Reps; Minutes; Time,[],warm-up/movement prep; cool down; mobility; breathing work; warm-up; down regulation breathing; movement work; recovery protocol; breathing / movement; breathin; mobility work; warm-up / movement prep,0,0,0,0,683,588a623665dcf3000f912992,#N/A,
,Banded Hip Distraction,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/hp24H_A24VI,resistence_bands,,Seconds; Reps; Minutes; Time,[],warm-up/movement prep; prehab/dynamic warm up; mobility; warm-up; down regulation breathing; mobility work 2; recovery protocol; mobility work,0,0,0,0,500,583c99e7fbefd210001e3485,#N/A,
,Banded Hip Flexor Stretch,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=oJfbl9iapUE,resistence_bands,,Seconds; Minutes; Time,[],warm-up/movement prep; mobility (ps/te); prehab/dynamic warm-up; prehab/dynamic warm up; mobility; mobility (irb); mobility work 1; mobility work 2; recovery protocol; mobility (bretzel wo.); neuro adaptation; mobility work,0,0,0,0,470,58238d8f473c06100052eda7,#N/A,
,Banded Hip Thrust,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/7ip_v_ud2Ww,resistence_bands,,Reps,[],accessory work; accessory work 1,0,0,0,0,1927,5d42240fc80618001186005d,#N/A,
,Banded Internal Rotation,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=f_qqFCbJP1k,resistence_bands,,,"['movement direction - plane: transverse', 'movement direction - axis: rotational']",,0,0,0,0,152,57e2fd3a4c6a031dc777e8c0,#N/A,
