Define categories for actions to align with adaptation types and similar functional movements,,Define candidate action's applicability to movement,,,,,,,,How to Apply Weight,,,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,
id,component_actions,compound_action_name,action_name,Rep_Conversion,example,example_urls,Categorization,categorization,,training_type,eligible_external_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,percent_bodyweight,lateral_distribution,apply_resistance,relative_explosiveness,apply_instability,,muscle_action,hip_joint_priority,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action
2403_e,,,negative,,,,,,,strength_integrated_resistance,bodyweight,,double_arm,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,2,Shoulder Extension,,
2403_f,,,negative,,,,,,,strength_integrated_resistance,bodyweight,,double_arm,bilateral,2,1,2,100,"50, 50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,2,Scapular Elevation,,
2403_g,,,stance,,,,,,,strength_integrated_resistance,bodyweight,double_leg,,bilateral,0,0,2,40.74,"50, 50",TRUE,no_speed,TRUE,,isometric,3,hip extension,,,,,,,,,,
,,Lower Body Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404_a,,Lunge,positive,,,,,,,strength_integrated_resistance,dumbbells,double_leg,,bilateral_uneven,2,1,2,100,"75, 25",TRUE,no_speed,TRUE,,concentric,1,hip flexion,1,knee flexion,3,ankle plantar flexion,,,,,,
2404_b,,,negative,,,,,,,strength_integrated_resistance,dumbbells,double_leg,,bilateral_uneven,2,1,2,100,"75, 25",TRUE,no_speed,TRUE,,eccentric,1,hip extension,1,knee extension,3,ankle dorsiflexion,,,,,,
2404_c,,,holding weight,,,,,,,strength_integrated_resistance,dumbbells,,double_arm,bilateral,2,,,9.43,"50, 50",TRUE,no_speed,FALSE,,isometric,,,,,,,2,Trunk Extension,3,Shoulder Horizontal Abduction (Horizontal Extension),,
,,Compound Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405_a,,Clean and Jerk,Deadlift: positive:bar from floor to knee,,,,,,,strength_integrated_resistance,barbells,double_leg,double_arm,bilateral,2,1,2,100,"50,50",TRUE,no_speed,TRUE,,concentric,3,hip extension,1,knee extension,4,ankle plantar flexion,,,,,,
2405_b,,,Deadlift: positive:bar from knee to hip,,,,,,,strength_integrated_resistance,barbells,double_leg,double_arm,bilateral,2,1,2,100,"50,50",TRUE,no_speed,TRUE,,concentric,1,hip extension,,,,,,,,,,
2405_c,,,Explosive Extension with shrug,,,,,,,power_action_olympic_lift,barbells,double_leg,,bilateral,2,1,2,100,"50, 50",TRUE,max_force,TRUE,,concentric,1,hip extension,1,knee extension,,,,,,,,
2405_d,,,Explosive Extension with shrug,,,,,,,power_action_olympic_lift,barbells,,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,max_force,TRUE,,concentric,,,,,,,,,1,Scapular Elevation,,
2405_e,,,bending arm,,,,,,,strength_integrated_resistance,barbells,,double_arm,bilateral,2,0,0,9.43,"50, 50",TRUE,no_speed,TRUE,,concentric,,,,,,,,,4,Shoulder Flexion,4,elbow flexion
2405_f,,,Push Jerk: Negative:Drop and Receive,,,,,,,power_action_olympic_lift,barbells,double_leg,,bilateral,2,1,2,100,"50,50",TRUE,no_speed,TRUE,,eccentric,3,hip flexion,1,knee flexion,3,ankle dorsiflexion,,,,,,
2405_g,,,Push Jerk: Negative: Drop and Receive,,,,,,,power_action_olympic_lift,barbells,,double_arm,bilateral,2,0,0,9.43,"50,50",TRUE,no_speed,TRUE,,eccentric,,,,,,,,,3,Shoulder Flexion,,
2405_h,,,Push Jerk: Positive: explode upward,,,,,,,power_action_olympic_lift,barbells,double_leg,,bilateral,2,1,2,100,"50,50",TRUE,max_force,TRUE,,concentric,3,hip extension,1,knee extension,3,ankle plantar flexion,,,,,,
2405_i,,,Push Jerk: Positive: explode upward,,,,,,,power_action_olympic_lift,barbells,,double_arm,bilateral,2,0,0,9.43,"50,50",FALSE,no_speed,FALSE,,concentric,,,,,,,,,1,Shoulder Flexion,,
2405_j,,,Push Jerk: Positive: drop and catch,,,,,,,power_action_olympic_lift,barbells,double_leg,double_arm,bilateral,2,1,2,100,"50,50",TRUE,high_force,TRUE,,eccentric,3,hip flexion,1,knee flexion,3,ankle dorsiflexion,,,,,,
2405_k,,,Push Jerk: Positive: drive upward,,,,,,,power_action_olympic_lift,barbells,double_leg,double_arm,bilateral,2,1,2,100,"50,50",TRUE,no_speed,TRUE,,concentric,3,hip extension,1,knee extension,3,ankle plantar flexion,,,,,,
