Numeric ID	SOFlete ID	Display Name	Exercise	Descriptions	PHASE	Muscle Group / Joint	Muscle	Inhibit	Static Lengthen	Active Lengthen	Dynamic Lengthen	Activate	Static Integrate	Dynamic Integrate	DOSAGE	min Sets	max Sets	min Reps	max Reps	Bilateral (Y/N)	Progression Interval (e.g. 2 reps)	Progression Cadence (e.g. 2 exposures)	Minimum Exposures to Maintain Stage	Unit of Measure for Reps	Rest Between Sets (seconds)	Time Per Set (seconds)	Time Per Rep (seconds)	Progresses To	MISC.	Technical Difficulty	Equipment Required	Present in Fathom Mapping Logic	Present in SOFlete Mapping Logic
id	soflete_id	display_name	name	description	phase	muscle_group_joint	muscle	inhibit	static_lengthen	active_lengthen	dynamic_lengthen	activate	static_integrate	dynamic_integrate	dosage	min_sets	max_sets	min_reps	max_reps	bilateral	progression_intervals	exposure_target	exposure_minimum	unit_of_measure	rest_between_sets	time_per_set	time_per_rep	progress_to	misc	technical_difficulty	equipment_required	present_in_fathom_mapping_logic	present_in_soflete_mapping_logic
18		Side Shuffle	Side Shuffle										x			1	1	10	10	N	0			seconds	0	10				Beginner	Field; Open Space		
19		A-Skips	A-Skips										x			1	1	10	10	N	0			seconds	0	10				Beginner	Field; Open Space		
20		Carioca	Carioca										x			1	1	10	10	N	0			seconds	0	10				Beginner	Field; Open Space		
21																																	
22																																	
23																																	
24																																	
25																																	
26		Calf (Soleus) Stretch	Soleus Static Stretch			Calves; Achilles			s							1	3	30	45	Y	0			seconds	0		1			Beginner	None	x	
27																																	
28		Standing Outer Hip Stretch	Standing TFL Static Stretch			Hip			s							1	2	30	45	Y	0	5	3	seconds	0		1	122		Beginner	None	x	
29		Ankle Mobility (Toes Up)	Ankle Dorsiflexion			Shin						i				1	3	10	15	N	2	3	1	count	0		2	63		Beginner	None	x	
30																																	
31		Single Leg Calf Raise 	Single - Leg Calf Raise			Calves; Achilles						i				1	3	10	15	Y	2			count	0		2			Beginner	None	x	
32																																	
33		Multiplanar Single-Leg Balance Reach (Firm Surface)	Multiplanar Single-Leg Balance Reach (Firm Surface)										x			1	2	10	14	Y	2			count	0	5		69		Beginner	Floor		
34																																	
35																																	
36		Ball Squats	Ball Squats										x			1	2	10	14	N	2			count	30	30		37		Beginner	Ball		
37		Step-Ups	Step-Ups						d				x			1	2	10	14	Y	2			count	30	30		38		Beginner	Box		
38		Lunges	Lunges						d				x			1	2	10	14	N	2			count	30	30		39		Beginner	Floor		
39		Single-Leg Squat	Single-Leg Squat										x			1	2	10	14	Y	2			count	30	30				Intermediate	Floor		
40		Wall Jumps	Wall Jumps										x			1	2	10	14	N	2			count	30	30		41		Beginner	Floor		
41		Tuck Jump	Tuck Jump										x			1	2	6	10	N	2			count	30	30		42		Intermediate	Floor		
42		Long Jump with Stabilization	Long Jump with Stabilization										x			1	4	1	1	N	0			count	30	10		43		Intermediate	Floor		
43		Single-Leg Hop with Stabilization	Single-Leg Hop with Stabilization										x			1	4	1	1	Y	0			count	10	10		70		Intermediate	Floor		
44		Foam Roll - Glutes	Foam Roller - Piriformis			Glutes; Lower Back 		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
45																																	
46		Lying Crossover Glute Stretch	Supine Piriformis Static Stretch			Glutes; IT-Band 			s							1	2	30	45	Y	0	5	3	seconds	0		1	117		Beginner	None	x	
47																																	
48		Foam Roll - Quads	Foam Roller Quadriceps			Quads		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
49		Lunging Hip Stretch	Kneeling Hip Flexor Static Stretch			Hip			s							1	2	30	45	Y	0	5	3	seconds	0		1	119		Beginner	None	x	
50		Bird-dog	Quadruped Arm/Opposite Leg Raise			Abs						i				1	3	10	12	N	2			count	0		3			Beginner	None	x	
51		Floor Cobra (Superman) Stretch	Floor Prone Cobra			Upper B/T/N; Lower Back						i				1	3	10	12	N	2			count	0		3			Beginner	None	x	
52		Ball Squats with Overheard Press	Ball Squats with Overheard Press										x			1	2	10	14	N	2			count	30	30				Intermediate	Ball; Dumbbell		
53		Toe Scrunches	Towel scrunches (Intrinsic Foot Muscles)			Foot						i				1	3	10	12	N	2			count	0		2			Beginner	Towel	x	
54		Foam Roll - Hip Flexor	Foam Roller - Hip Flexor			Hip; Abs		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
55		Foam Roll - Lats	Foam Roller - Latissimus Dorsi			Lats		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
56		Seated Spinal Twist Stretch	Erector Spinal Static Stretch			Glutes; IT-Band; Lower Back			s							1	2	30	45	Y	0			seconds	0		1			Beginner	None	x	
57		Kneeling One-Armed Lat Stretch	Latissimus Dorsi Static Stretch			Triceps; Lats			s							1	2	30	45	Y	0			seconds	0		1			Beginner	None	x	
58		B-Skips	B-Skips										x			1	1	10	10	N	0			seconds	0	10				Beginner	Field; Open Space		
59		Ankle Stretch and Hold (Towards You)	Isometric Ankle Dorsiflexion			Foot			s							1	2	30	45	Y	0			seconds	0		1			Beginner	None	x	
60		Ankle Stretch and Hold (Away From You)	Isometric Ankle Plantarflexion			Shin; Foot			s							1	2	30	45	Y	0			seconds	0		1			Beginner	None	x	
61		Ankle Stretch and Hold (Toes In)	Isometric Ankle Inversion						s							1	2	30	45	Y	0			seconds	0		1			Beginner	None		
62		Ankle Stretch and Hold (Toes Out)	Isometric Ankle Eversion						s							1	2	30	45	Y	0			seconds	0		1			Beginner	None		
63		Ankle Mobility (Toes In)	Ankle Inversion			Foot						i				1	2	10	12	N	2	3	1	count	0		2	64		Beginner	None	x	
64		Ankle Mobility (Toes Out)	Ankle Eversion			Shin; Foot						i				1	2	10	12	N	2			count	0		2			Beginner	None	x	
65		Ankle Mobility (Up and Out)	Ankle Dorsiflexion and Eversion			Shin						i				1	2	10	12	N	2	3	1	count	0		2	66		Intermediate	None	x	
66		Ankle Mobility (Down and In)	Ankle Plantarflexion and Inversion			Foot						i				1	2	10	12	N	2	3	1	count	0		2	107		Intermediate	None	x	
67		Double Leg Calf Raise	Double Leg Calf Raise			Calves; Achilles						i				1	2	10	12	N	2	5	3	count	0		2	78		Beginner	None	x	
68		Double Leg (Up) - Single Leg (Down) Calf Raise	Double Leg (up); Single leg (down) calf raise			Calves; Achilles						i				1	3	10	12	Y	2	5	3	count	0		2	31		Beginner	None	x	
69		Multiplanar Single-Leg Balance Reach (Unstable Surface)	Multiplanar Single-Leg Balance Reach (Uneven Surface)										x			1	2	10	14	Y	2			count	30	30				Intermediate	Pillow; Foam Pad; Half Bosu Ball		
70		Triple-Hop to Stabilization	Triple-hop to stabilization (distance)										x			1	4	3	3	Y	0			count	30	15				Intermediate	Floor		
71		Foam Roll - Outer Lower Leg	Foam Roller - Peroneals			Calves		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
72		Foam Roll - Outer Shin	Foam Roller - Tibialis Anterior			Shin		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
73		Inner Shin Release	Foam Roller - Tibialis Posterior			Shin		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
74		Foam Roll - Bottom of Foot	Foam Roller- Bottom of Foot			Foot		i								1	2	30	60	Y	0			seconds	0		1			Beginner	Foam Roller	x	
75		Toe Lifts	Toe Lifts			Shin						i				1	3	10	12	N	2			count	0		2			Beginner	None	x	
76		Banded A-March	Banded A-March										x			1	2				0			count						Beginner	Band		
77		Wall Sit	Wall Sit									x				1	2	30	30	N	0			seconds	0	30				Beginner	None		
