name,description,training_type_original,training_type,equipment,action,body_position,explosiveness,youtube_link,tags,sections,strength,endurance,power,stability,number of training types assigned,metrics,,id
Dead Hang,,,,,,,,https://youtu.be/fL1wjHxZZ1E,[],position work; warm-up / movement work; strength 1; mobility; breathing work; movement work; recovery protocol; mobility work; bonus work; warm-up/movement prep; accessory work 2; cool down; weapons development; grip work 1; trunk work; movement / breathing; stamina; accessory work; suns out guns out; trunk work 2; strength 4; loco motion; movement flow; warm-up; strength 2; breathing / movement; warm-up / movement prep; grip work,1,1,0,,2,Seconds; Reps; Minutes; Time,546,585838c02b2ef8001104bff0
Dead Stop Bench Press,,,,,,,,https://youtu.be/bGH0f9n0-Xc,['basic_exercise: bench press'],,0,0,0,,0,,1345,5b7a0f8f06257d000f6460ff
Deadbug Bilateral KB Hold,,,,Kettlebells,,,,https://www.youtube.com/watch?v=0VQvU5vWV5g,['equipment: kettlebells'],accessory work; accessory work 3,0,0,0,,0,Reps; Time,1260,5adf94e41a4308000fc558a0
Deadbug w/ Pallof Press,,,,,,,,https://youtu.be/i_bTD13DJgg,[],strength work; accessory work; strength 1; strength 3; strength; correctives; warm-up / movement prep,1,0,0,,1,Reps; Time,882,596e9ae8c3db3e000f7026d7
Deadlift,,,,,,,,https://youtu.be/4snvS0IOPGI?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,['olympic_lift: deadlift'],strength 1; stength; powerlifting 3; neuro adaptation; stamina and strength; stamina 3; strength work; soflete rx'd; conditioning option a; soflete performance; conditioning option b; conditioning 2; stamina/strength 1; upper body pt/strength; soflete fitness; stamina 1; stamina & strength; giantset; strength; powerlifting 1; stamina; recovery; accessory work; suns out guns out; strength 3; strongman; open 18.4 prep; strength (no weight vest); strength 4; powerlifting 2; sun's out guns out (accessory work); conditioning; movement flow; soflete performance/fitness; warm-up; new blank section #1; strength 2; conditioning 1; strenth 4; accessory work 1; stamina 2,1,1,0,,2,Reps; Time,4,57e2fd3a4c6a031dc777e820
Deadlift to Power Clean Complex,,,,,,,,,"['olympic_lift: power clean', 'olympic_lift: deadlift']",,0,0,0,,0,,286,57e2fd3a4c6a031dc777e953
Death March,,,,,,,,https://youtu.be/0waR0ZZzd04?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,[],accessory work 2; accessory work; strength 3; skys out thighs out 1; weapons development; strength 2; skys out thighs out; accessory; strength; accessory work 1,1,0,0,,1,Reps; Meters; Feet,534,5851882e988c130011bbc392
Decline Barbell Bench Press,,,,barbells,,,,https://youtu.be/LfyQBUKR8SE,"['basic_exercise: bench press', 'equipment: barbells']",strength 1; strength 2,1,0,0,,1,Reps,1521,5bfc5cd2011489000ff385ca
Decline Bench Press,,,,,,,,https://youtu.be/LfyQBUKR8SE?t=29,['basic_exercise: bench press'],strength 1,1,0,0,,1,Reps,1604,5c29b8b62fa17a000f572bb2
Decline DB Bench Press,,,,dumbbells,,,,https://youtu.be/Pf1nDoqx_1A,"['basic_exercise: bench press', 'equipment: dumbbells']",accessory work; suns out guns out; sunâ€™s out guns out (accessory work); strength 2; accessory work 1,1,0,0,,1,Reps,1390,5b9b5a3fcbb461000f8d43b8
