Define categories for actions to align with adaptation types and similar functional movements,Define candidate action's applicability to movement,,,,,,How to Apply Weight,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,,,"Ancillary Joint Actions: selecting Fixators muscles to apply strength endurance load
If stability intensity should affect load magnitude (i.e. weight implement, speed, surface), then fixator. Else Primary action.
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Kneeling Actions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Integrated Resistence Actions ,,,,weight_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"full extension, hold weight overhead",,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,none,TRUE,,isometric,,,,,,,,,,Shoulder Extension,,elbow flexion,,isometric,,,,,,,,,,,,,
2002,"curl, hold weight at waist",,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,none,TRUE,,isometric,,,,,,,,,,,,elbow flexion,,isometric,,,,,,,,,,,,,
2003,hold arm straight,,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,FALSE,none,FALSE,,isometric,,,,,,,,,,,,elbow extension,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
2005,hold weight on shoulder,,,,,,strength_integrated_resistance,,,single_arm,,unilateral,,"100, 0",TRUE,none,FALSE,,isometric,,,,,,,,Trunk Extension,,,,,,isometric,hip extension,,Trunk Lateral Flexion,Posterior Pelvic Tilt,,,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Isolated Upper Body Actions - push pull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100_a,horizontal push,against resistence,pushup,,,,strength_integrated_resistance,,,double_arm,,bilateral,,"50, 50",TRUE,none,FALSE,,concentric,,,,,,,,,,"Shoulder Horizontal Adduction (Horizontal Flexion)
Shoulder Flexion",,elbow extension,,isometric,,,,,,,,,,,,,
2100_b,,return to start,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,"50, 51",TRUE,none,FALSE,,eccentric,,,,,,,,,,"Shoulder Horizontal Abduction (Horizontal Extension)
Shoulder Extension",,elbow flexion,,isometric,,,,,,,,,,,,,
,wide stance push,against resistence,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,"50, 52",TRUE,none,FALSE,,concentric,,,,,,,,,,Shoulder Horizontal Adduction (Horizontal Flexion),,elbow extension,,isometric,,,,,,,,,,,,,
,,return to start,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,"50, 53",TRUE,none,FALSE,,eccentric,,,,,,,,,,Shoulder Horizontal Abduction (Horizontal Extension),,elbow flexion,,isometric,,,,,,,,,,,,,
,narrow stance push,against resistence,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,"50, 54",TRUE,,FALSE,,,,,,,,,,,,Shoulder Flexion,,,,isometric,,,,,,,,,,,,,
,,return to start,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,"50, 55",TRUE,,FALSE,,,,,,,,,,,,Shoulder Extension,,,,isometric,,,,,,,,,,,,,
,horizontal pull,against resistence,row,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,return to start,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,vertical pull,against resistence,lat pull down,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,return to start,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,vertical push,against resistence,land mine press,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,return to start,,,,,strength_integrated_resistance,,,double_arm,,bilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,single arm horizontal pull = row,,,,,,strength_integrated_resistance,,,single_arm,,unilateral,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,,,,,,,,,TRUE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,Lat Pulldown as shoulder flexion in front of body,,,,,,strength_integrated_resistance,Cable,double_leg,double_arm,bilateral,2,0,0,"50, 50",TRUE,no_speed,,concentric,,,,,,,,,1,Shoulder Extension,,,,isometric,,,Trunk Flexion,,,elbow extension,,,,,,,
,,,,,,,strength_integrated_resistance,Cable,double_leg,double_arm,bilateral,2,0,0,"50, 50",TRUE,no_speed,,eccentric,,,,,,,,,1,Shoulder Flexion,,,,isometric,,,Trunk Flexion,,,elbow extension,,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Isolated Lower Body Actions - squat, hinge",,,,body_position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,hinge,,,,,,strength_integrated_resistance,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,strength_integrated_resistance,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,single leg hinge,,,,,,strength_integrated_resistance,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,strength_integrated_resistance,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,squat,,,,,,strength_integrated_resistance,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,strength_integrated_resistance,,double_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,staggered squat,,,,,,strength_integrated_resistance,,staggered_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,strength_integrated_resistance,,staggered_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,lunge,,,,,,strength_integrated_resistance,,split_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,,,,,,,strength_integrated_resistance,,split_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
,single leg squat,,,,,,strength_integrated_resistance,,single_leg,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,isometric,,,,,,,,,,,,,
